,Growth,Low Risk,Low Size,Momentum,Value,Quality Income
2018-09-03,3147.2755891676306,2521.365121580658,4447.639969536472,7230.019235794624,5367.396587309165,2746.458677618895
2018-09-04,3147.869876758621,2517.8542235295577,4423.624532474919,7240.434396151657,5339.050309960467,2744.5118853801237
2018-09-05,3123.127073996366,2512.7375366306114,4432.075318849497,7221.320381645974,5358.611720869731,2765.911700914112
2018-09-06,3106.5747942869107,2518.676856306644,4399.732989038636,7182.130964512463,5311.798170162503,2752.442727777157
2018-09-07,3101.329324122968,2510.2210284147695,4376.87933648785,7139.770024748573,5291.714563668863,2749.4063370100525
2018-09-10,3114.820555494387,2519.947223026788,4389.988357402244,7170.0554057715,5307.934017243979,2758.355360816289
2018-09-11,3120.3636886149275,2524.4965839471897,4389.5381352363265,7198.867129926592,5291.680819852414,2753.332975865608
2018-09-12,3121.426617950834,2520.803548556299,4404.160644727195,7187.389792448792,5300.704483896948,2769.848946360802
2018-09-13,3138.0648212410706,2538.3720663259924,4414.673414894446,7178.559461912681,5329.36398676666,2776.6497220140013
2018-09-14,3151.569606158092,2539.926521081227,4434.225767140927,7178.82475034864,5367.001242957442,2783.0087933110926
2018-09-17,3120.3555447953877,2522.3213875085676,4414.646193174838,7130.513669292191,5346.739364533575,2790.274374917932
2018-09-18,3140.127151330112,2533.4829150603496,4438.30073340114,7187.9011044097,5380.622577895414,2796.223262423582
2018-09-19,3139.0964144453815,2523.441135982181,4449.973600817993,7171.5475632047655,5407.518222982087,2784.7161745058315
2018-09-20,3156.564446138018,2542.1879248577193,4491.260090800238,7204.253659933099,5457.949321778235,2799.9290097645426
2018-09-21,3152.694900248628,2544.1812769704266,4503.119159186646,7215.4580715368065,5466.993544758425,2813.645375538277
2018-09-24,3138.0971507486047,2533.2610130572302,4455.737436197577,7199.7271611391025,5401.734070940664,2795.2338583084247
2018-09-25,3138.0299808346444,2534.4430105670594,4432.878096129461,7213.128742810813,5356.196900475517,2783.6258727796103
2018-09-26,3126.830224116079,2525.5757729577113,4406.44383026388,7196.488203900344,5320.006611930436,2768.8585709443996
2018-09-27,3132.9899694635546,2529.2117477046754,4405.420316431392,7187.6981294885145,5313.4126827401005,2777.310083483786
2018-09-28,3136.7159009102297,2538.570657741689,4414.75221304202,7195.746837497376,5314.7589334615195,2788.4110200137247
2018-10-01,3130.8756335834682,2537.5600191249214,4393.896062611229,7188.744454605651,5308.970571201539,2808.163370537781
2018-10-02,3107.9218816096604,2527.2041639697395,4383.848111489119,7127.5960174553775,5309.891512033542,2816.9591100288885
